profile_name,user_reviews,rating_date,visit_date,summary,text,stars
peterbH5107W,16 reviews,"Reviewed October 30, 2022",Date of visit: October 2022,Excellent food and cabaret,"We were recommended to go here while in Paphos but I had no idea there would be live dancers. Made for a very enjoyable night. 
Food was great with big portions and you could tell a lot of work has gone into the acts.",5
relinquishedall,8 reviews,"Reviewed October 29, 2022",Date of visit: October 2022,"Music, Palinka, decent food","Had some food and a few beers, as a band played some nice music. Baglárka helped us pick a nice Palinka and we had a great evening",5
audreysouthampton,5 reviews,"Reviewed October 28, 2022",Date of visit: October 2022,Great evening,"What a lovely evening, the staff couldn’t of been more helpful.the young girls dancing were a joy x my family all thought the food was fantastic and was a lovely end to our granddaughters visit . Thank you so much 
Audrey kempton and family",5
pauladK1021PE,1 review,"Reviewed October 23, 2022",Date of visit: October 2022,LOVE LOVE LOVE Fat Mamas,"2nd night out of 4 for us. Had to go back as our daughters enjoyed the show so much (so did we).  I went the last time here, 8 years ago and it’s still the same, guaranteed tasty food and as you’ve read, huge portions....Staff are very friendly and make you feel so welcome, mostly family I believe.
The lady who does glitter tattoos/nail art outside nightly is brilliant and very talented. All in all a great night out esp if you have children.More",5
Le5ley63,30 reviews,"Reviewed October 22, 2022",Date of visit: October 2022,Great night,"Food really good,  fantastic service, and dancers, what more do you need. Service really good too. Very large portions, if you order nachos as a starter, you need to share with someone",5
F3932JJandys,2 reviews,"Reviewed October 21, 2022",Date of visit: October 2022,Birthday meal,"Brilliant food , service and show defiantly recommend a visit here portion area plenty full so be warned ha ha .It was nice not to be rushed.",5
Z4409QJdavidf,96 reviews,"Reviewed October 19, 2022",Date of visit: October 2022,Another night escaping the rain,"Again rain pounding down so jumped in here really nice but loud and has dancers 

Got starters mushrooms and ravioli then fajitas and pizza 

All really good  really nice place especially for families",4
melanie W,124 reviews,"Reviewed October 18, 2022",Date of visit: October 2022,Amazing service,"Our first time here and we were not dissapointed. Staff were amazing very efficient and friendly, nothing was too much trouble. Food was good and plentiful and reasonably priced. Our only feedback would be to put some more vegetarian options on the menu. The dancers...are and it’s obvious how much they love their role!  Overall a great experience and would definitely recommend.More",4
JudyF899,4 reviews,"Reviewed October 18, 2022",Date of visit: October 2022,Fabulous.,"We literally stumbled across this restaurant whilst on our holiday from the UK. We had a fabulous meal, very good considerate service and surrounded with a vibrant atmosphere as the life band played.
Highly recommend the Hungarian goulash with pie bread.
Not to be missed.",5
350darrenw,51 reviews,"Reviewed October 12, 2022",Date of visit: October 2022,Disappointed,"Really disappointed, have been coming here for 20 years but post covid this restaurant isn’t a patch on what it used to be. 
The menu used to be varied and big but now (I guess because of covid) it is small and unexciting. 
The starter...of prawn cocktail would be better described as lettuce with a prawn flavouring, with the big dish almost full of lettuce. 
The main courses were ok but certainly nothing special, and definitely nowhere near the size the used to be (which were stupidly big to be fair). 
Staff were very professional and friendly and entertainment is more of a gimmick now than a reason to go there. 
Sad really, probably what was my favourite restaurant in Paphos is probably now near the bottom of my go to list.More",3
