,rating_date
0,30/10/2022
1,29/10/2022
2,28/10/2022
3,23/10/2022
4,22/10/2022
5,21/10/2022
6,19/10/2022
7,18/10/2022
8,18/10/2022
9,12/10/2022
10,05/10/2022
11,04/10/2022
12,04/10/2022
13,02/10/2022
14,02/10/2022
15,29/09/2022
16,27/09/2022
17,22/09/2022
18,22/09/2022
19,19/09/2022
20,18/09/2022
21,17/09/2022
22,16/09/2022
23,12/09/2022
24,11/09/2022
25,09/09/2022
26,09/09/2022
27,09/09/2022
28,08/09/2022
29,07/09/2022
30,04/09/2022
31,04/09/2022
32,30/08/2022
33,26/08/2022
34,26/08/2022
35,26/08/2022
36,24/08/2022
37,24/08/2022
38,15/08/2022
39,14/08/2022
40,11/08/2022
41,11/08/2022
42,09/08/2022
43,04/08/2022
44,02/08/2022
45,30/07/2022
46,30/07/2022
47,27/07/2022
48,25/07/2022
49,24/07/2022
50,21/07/2022
51,17/07/2022
52,10/07/2022
53,03/07/2022
54,29/06/2022
55,25/06/2022
56,18/06/2022
57,13/06/2022
58,12/06/2022
59,31/05/2022
60,26/05/2022
61,18/05/2022
62,13/05/2022
63,10/05/2022
64,03/05/2022
65,02/05/2022
66,02/05/2022
67,02/05/2022
68,21/04/2022
69,21/04/2022
70,19/02/2022
71,07/11/2021
72,03/11/2021
73,01/11/2021
74,31/10/2021
75,28/10/2021
76,27/10/2021
77,27/10/2021
78,25/10/2021
79,23/10/2021
80,22/10/2021
81,21/10/2021
82,20/10/2021
83,19/10/2021
84,17/10/2021
85,17/10/2021
86,12/10/2021
87,06/10/2021
88,06/10/2021
89,24/09/2021
90,23/09/2021
91,21/09/2021
92,05/09/2021
93,05/09/2021
94,04/09/2021
95,02/09/2021
96,02/09/2021
97,30/08/2021
98,27/08/2021
99,24/08/2021
100,21/08/2021
101,20/08/2021
102,18/08/2021
103,18/08/2021
104,17/08/2021
105,15/08/2021
106,15/08/2021
107,11/08/2021
108,09/08/2021
109,07/08/2021
110,20/11/2020
111,29/10/2020
112,28/10/2020
113,27/10/2020
114,18/10/2020
115,18/10/2020
116,16/10/2020
117,16/10/2020
118,14/10/2020
119,13/10/2020
120,10/10/2020
121,10/10/2020
122,03/10/2020
123,02/10/2020
124,02/10/2020
125,30/09/2020
126,28/09/2020
127,27/09/2020
128,24/09/2020
129,24/09/2020
130,22/09/2020
131,21/09/2020
132,19/09/2020
133,16/09/2020
134,16/09/2020
135,07/09/2020
136,06/09/2020
137,05/09/2020
138,03/09/2020
139,31/08/2020
140,26/08/2020
141,22/08/2020
142,20/08/2020
143,05/08/2020
144,12/12/2019
145,21/11/2019
146,16/11/2019
147,12/11/2019
148,10/11/2019
149,05/11/2019
150,04/11/2019
151,03/11/2019
152,02/11/2019
153,01/11/2019
154,01/11/2019
155,31/10/2019
156,26/10/2019
157,26/10/2019
158,26/10/2019
159,24/10/2019
160,24/10/2019
161,23/10/2019
162,22/10/2019
163,22/10/2019
164,21/10/2019
165,21/10/2019
166,20/10/2019
167,17/10/2019
168,16/10/2019
169,15/10/2019
170,14/10/2019
171,13/10/2019
172,12/10/2019
173,12/10/2019
174,12/10/2019
175,11/10/2019
176,09/10/2019
177,09/10/2019
178,09/10/2019
179,08/10/2019
180,07/10/2019
181,06/10/2019
182,06/10/2019
183,06/10/2019
184,05/10/2019
185,05/10/2019
186,04/10/2019
187,03/10/2019
188,03/10/2019
189,30/09/2019
190,30/09/2019
191,29/09/2019
192,28/09/2019
193,28/09/2019
194,26/09/2019
195,26/09/2019
196,25/09/2019
197,24/09/2019
198,23/09/2019
199,20/09/2019
200,20/09/2019
201,20/09/2019
202,19/09/2019
203,19/09/2019
204,19/09/2019
205,18/09/2019
206,17/09/2019
207,13/09/2019
208,13/09/2019
209,13/09/2019
210,12/09/2019
211,12/09/2019
212,12/09/2019
213,11/09/2019
214,10/09/2019
215,09/09/2019
216,08/09/2019
217,08/09/2019
218,07/09/2019
219,07/09/2019
220,07/09/2019
221,07/09/2019
222,05/09/2019
223,05/09/2019
224,04/09/2019
225,04/09/2019
226,04/09/2019
227,04/09/2019
228,03/09/2019
229,03/09/2019
230,03/09/2019
231,02/09/2019
232,02/09/2019
233,01/09/2019
234,31/08/2019
235,31/08/2019
236,30/08/2019
237,30/08/2019
238,30/08/2019
239,29/08/2019
240,28/08/2019
241,27/08/2019
242,27/08/2019
243,25/08/2019
244,24/08/2019
245,24/08/2019
246,23/08/2019
247,22/08/2019
248,22/08/2019
249,21/08/2019
250,21/08/2019
251,19/08/2019
252,18/08/2019
253,16/08/2019
254,16/08/2019
255,15/08/2019
256,15/08/2019
257,15/08/2019
258,15/08/2019
259,14/08/2019
260,14/08/2019
261,14/08/2019
262,13/08/2019
263,13/08/2019
264,13/08/2019
265,12/08/2019
266,12/08/2019
267,12/08/2019
268,12/08/2019
269,12/08/2019
270,11/08/2019
271,10/08/2019
272,10/08/2019
273,10/08/2019
274,10/08/2019
275,09/08/2019
276,09/08/2019
277,09/08/2019
278,07/08/2019
279,06/08/2019
280,06/08/2019
281,05/08/2019
282,04/08/2019
283,04/08/2019
284,03/08/2019
285,03/08/2019
286,02/08/2019
287,01/08/2019
288,31/07/2019
289,31/07/2019
290,30/07/2019
291,29/07/2019
292,29/07/2019
293,28/07/2019
294,26/07/2019
295,26/07/2019
296,24/07/2019
297,23/07/2019
298,22/07/2019
299,22/07/2019
300,21/07/2019
301,21/07/2019
302,20/07/2019
303,19/07/2019
304,16/07/2019
305,13/07/2019
306,12/07/2019
307,11/07/2019
308,10/07/2019
309,09/07/2019
310,08/07/2019
311,08/07/2019
312,08/07/2019
313,07/07/2019
314,07/07/2019
315,06/07/2019
316,04/07/2019
317,04/07/2019
318,03/07/2019
319,02/07/2019
320,02/07/2019
321,02/07/2019
322,01/07/2019
323,01/07/2019
324,30/06/2019
325,25/06/2019
326,24/06/2019
327,24/06/2019
328,23/06/2019
329,23/06/2019
330,22/06/2019
331,22/06/2019
332,22/06/2019
333,22/06/2019
334,21/06/2019
335,20/06/2019
336,20/06/2019
337,20/06/2019
338,17/06/2019
339,16/06/2019
340,13/06/2019
341,13/06/2019
342,11/06/2019
343,11/06/2019
344,10/06/2019
345,10/06/2019
346,10/06/2019
347,08/06/2019
348,07/06/2019
349,05/06/2019
350,05/06/2019
351,04/06/2019
352,03/06/2019
353,01/06/2019
354,28/05/2019
355,28/05/2019
356,27/05/2019
357,26/05/2019
358,26/05/2019
359,25/05/2019
360,25/05/2019
361,25/05/2019
362,23/05/2019
363,22/05/2019
364,20/05/2019
365,19/05/2019
366,18/05/2019
367,15/05/2019
368,15/05/2019
369,11/05/2019
370,10/05/2019
371,10/05/2019
372,10/05/2019
373,09/05/2019
374,09/05/2019
375,08/05/2019
376,07/05/2019
377,06/05/2019
378,04/05/2019
379,04/05/2019
380,04/05/2019
381,03/05/2019
382,03/05/2019
383,03/05/2019
384,01/05/2019
385,30/04/2019
386,29/04/2019
387,28/04/2019
388,27/04/2019
389,24/04/2019
390,24/04/2019
391,23/04/2019
392,10/03/2019
393,08/03/2019
394,24/02/2019
395,18/02/2019
396,13/02/2019
397,31/12/2018
398,21/11/2018
399,20/11/2018
400,18/11/2018
401,08/11/2018
