,index,profile_name,user_reviews,summary,stars,rating_date,text,label,score
0,0,peterbH5107W,16,Excellent food and cabaret,5,30/10/2022,We were recommended to go here while in Paphos but I had no idea there would be live dancers. Made for a very enjoyable night. Food was great with big portions and you could tell a lot of work has gone into the acts.,POSITIVE,0.9998482465744019
1,1,relinquishedall,8,"Music, Palinka, decent food",5,29/10/2022,"Had some food and a few beers, as a band played some nice music. Baglárka helped us pick a nice Palinka and we had a great evening",POSITIVE,0.9998249411582947
2,2,audreysouthampton,5,Great evening,5,28/10/2022,"What a lovely evening, the staff couldn’t of been more helpful.the young girls dancing were a joy x my family all thought the food was fantastic and was a lovely end to our granddaughters visit . Thank you so much Audrey kempton and family",POSITIVE,0.9998478889465332
3,3,pauladK1021PE,1,LOVE LOVE LOVE Fat Mamas,5,23/10/2022,"2nd night out of 4 for us. Had to go back as our daughters enjoyed the show so much (so did we). I went the last time here, 8 years ago and it’s still the same, guaranteed tasty food and as you’ve read, huge portions....More",POSITIVE,0.9996623992919922
4,4,Le5ley63,30,Great night,5,22/10/2022,"Food really good, fantastic service, and dancers, what more do you need. Service really good too. Very large portions, if you order nachos as a starter, you need to share with someone",POSITIVE,0.9998047947883606
5,5,F3932JJandys,2,Birthday meal,5,21/10/2022,"Brilliant food , service and show defiantly recommend a visit here portion area plenty full so be warned ha ha .It was nice not to be rushed.",POSITIVE,0.9996604919433594
6,6,Z4409QJdavidf,96,Another night escaping the rain,4,19/10/2022,Again rain pounding down so jumped in here really nice but loud and has dancers Got starters mushrooms and ravioli then fajitas and pizza All really good really nice place especially for families,POSITIVE,0.9997962117195129
7,7,melanie W,124,Amazing service,4,18/10/2022,"Our first time here and we were not dissapointed. Staff were amazing very efficient and friendly, nothing was too much trouble. Food was good and plentiful and reasonably priced. Our only feedback would be to put some more vegetarian options on the menu. The dancers...More",POSITIVE,0.9980054497718811
8,8,JudyF899,4,Fabulous.,5,18/10/2022,"We literally stumbled across this restaurant whilst on our holiday from the UK. We had a fabulous meal, very good considerate service and surrounded with a vibrant atmosphere as the life band played. Highly recommend the Hungarian goulash with pie bread. Not to be missed.",POSITIVE,0.999848484992981
9,9,350darrenw,51,Disappointed,3,12/10/2022,"Really disappointed, have been coming here for 20 years but post covid this restaurant isn’t a patch on what it used to be. The menu used to be varied and big but now (I guess because of covid) it is small and unexciting. The starter...More",NEGATIVE,0.9780449271202087
10,10,Gold G,9,Kind service,3,05/10/2022,"The service was super kind, the starters we had were good (halloumi and nacho's), the main dishes were avarage. The entertainment makes it lively but not really our kind of entertainment. Overall a good experience!",POSITIVE,0.9995618462562561
11,11,738nikkid,13,Great night,5,04/10/2022,"Great food, family friendly atmosphere and amazing Fat mammas dancers1 those girls work so hard putting together at least 3 different routines a week,its so much fun ! We had burgers and ribs - massive portions great value for money .",POSITIVE,0.9997758269309998
12,12,kenevans67,7,Great family night out,5,04/10/2022,"Great food, service and entertainment. The family had a really fun night and even our little 8 month niece was transfixed by the dancers. The staff were fun especially the young female staff member who I couldn't help but make fun of and who gave...More",POSITIVE,0.9998551607131958
13,13,REW29,281,Still the best show in town!,5,02/10/2022,"It was so good to return to Fat Mama’s and we were not disappointed! The same fabulous food, great service and of course brilliant entertainment! The cabaret show did not disappoint and our 18 month old was in awe of everything! We loved our visit...More",POSITIVE,0.9998759031295776
14,14,912gerj,3,Ok,2,02/10/2022,The cabaret show was great. Unfortunately the food wasn't. Had chilli con carne there was a hard skin on rice. Another of our party had chicken which they couldn't cut it was so tough.,NEGATIVE,0.9903312921524048
